ICD10_diagnosis_code	trait_description	phecode	Inclusion/Exclusion	phenotype
E09.3213	Drug/chem diab with mild nonp rtnop with macular edema, bi	249|250.7	Exclusion	Glaucoma
E09.3219	Drug/chem diab with mild nonp rtnop with macular edema, unsp	249|250.7	Exclusion	Glaucoma
E09.329	Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema	249|250.7	Exclusion	Glaucoma
E09.3291	Drug/chem diab with mild nonp rtnop w/o mclr edema, r eye	249|250.7	Exclusion	Glaucoma
E09.3292	Drug/chem diab with mild nonp rtnop w/o mclr edema, l eye	249|250.7	Exclusion	Glaucoma
E09.3293	Drug/chem diab with mild nonp rtnop without mclr edema, bi	249|250.7	Exclusion	Glaucoma
E09.3299	Drug/chem diab with mild nonp rtnop without mclr edema, unsp	249|250.7	Exclusion	Glaucoma
E09.33	Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy	249|250.7	Exclusion	Glaucoma
E09.331	Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema	249|250.7	Exclusion	Glaucoma
E09.3311	Drug/chem diab with mod nonp rtnop with macular edema, r eye	249|250.7	Exclusion	Glaucoma
E09.3312	Drug/chem diab with mod nonp rtnop with macular edema, l eye	249|250.7	Exclusion	Glaucoma
E09.3313	Drug/chem diab with mod nonp rtnop with macular edema, bi	249|250.7	Exclusion	Glaucoma
E09.3319	Drug/chem diab with mod nonp rtnop with macular edema, unsp	249|250.7	Exclusion	Glaucoma
E09.339	Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema	249|250.7	Exclusion	Glaucoma
E09.3391	Drug/chem diab with mod nonp rtnop without mclr edema, r eye	249|250.7	Exclusion	Glaucoma
E09.3392	Drug/chem diab with mod nonp rtnop without mclr edema, l eye	249|250.7	Exclusion	Glaucoma
E09.3393	Drug/chem diab with mod nonp rtnop without macular edema, bi	249|250.7	Exclusion	Glaucoma
E09.3399	Drug/chem diab with mod nonp rtnop without mclr edema, unsp	249|250.7	Exclusion	Glaucoma
E09.34	Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy	249|250.7	Exclusion	Glaucoma
E09.341	Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema	249|250.7	Exclusion	Glaucoma
E09.3411	Drug/chem diab with severe nonp rtnop with mclr edema, r eye	249|250.7	Exclusion	Glaucoma
E09.3412	Drug/chem diab with severe nonp rtnop with mclr edema, l eye	249|250.7	Exclusion	Glaucoma
E09.3413	Drug/chem diab with severe nonp rtnop with macular edema, bi	249|250.7	Exclusion	Glaucoma
E09.3419	Drug/chem diab with severe nonp rtnop with mclr edema, unsp	249|250.7	Exclusion	Glaucoma
E09.349	Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema	249|250.7	Exclusion	Glaucoma
E09.3491	Drug/chem diab with severe nonp rtnop w/o mclr edema, r eye	249|250.7	Exclusion	Glaucoma
E09.3492	Drug/chem diab with severe nonp rtnop w/o mclr edema, l eye	249|250.7	Exclusion	Glaucoma
E09.3493	Drug/chem diab with severe nonp rtnop without mclr edema, bi	249|250.7	Exclusion	Glaucoma
E09.3499	Drug/chem diab with severe nonp rtnop w/o mclr edema, unsp	249|250.7	Exclusion	Glaucoma
E09.35	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy	249|250.7	Exclusion	Glaucoma
E09.351	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema	249|250.7	Exclusion	Glaucoma
E09.3511	Drug/chem diab with prolif diab rtnop with mclr edema, r eye	249|250.7	Exclusion	Glaucoma
E09.3512	Drug/chem diab with prolif diab rtnop with mclr edema, l eye	249|250.7	Exclusion	Glaucoma
E09.3513	Drug/chem diab with prolif diab rtnop with macular edema, bi	249|250.7	Exclusion	Glaucoma
E09.3519	Drug/chem diab with prolif diab rtnop with mclr edema, unsp	249|250.7	Exclusion	Glaucoma
E09.352	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula	249|250.7	Exclusion	Glaucoma
E09.3521	Drug/chem diab w prolif diab rtnop w trctn dtch macula,r eye	249|250.7	Exclusion	Glaucoma
E09.3522	Drug/chem diab w prolif diab rtnop w trctn dtch macula,l eye	249|250.7	Exclusion	Glaucoma
E09.3523	Drug/chem diab w prolif diab rtnop w trctn dtch macula, bi	249|250.7	Exclusion	Glaucoma
E09.3529	Drug/chem diab w prolif diab rtnop w trctn dtch macula, unsp	249|250.7	Exclusion	Glaucoma
E09.353	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula	249|250.7	Exclusion	Glaucoma
E09.3531	Drug/chem diab w prolif diab rtnop w trctn dtch n-mcla,r eye	249|250.7	Exclusion	Glaucoma
E09.3532	Drug/chem diab w prolif diab rtnop w trctn dtch n-mcla,l eye	249|250.7	Exclusion	Glaucoma
E09.3533	Drug/chem diab w prolif diab rtnop w trctn dtch n-mcla, bi	249|250.7	Exclusion	Glaucoma
E09.3539	Drug/chem diab w prolif diab rtnop w trctn dtch n-mcla, unsp	249|250.7	Exclusion	Glaucoma
E09.354	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment	249|250.7	Exclusion	Glaucoma
E09.3541	Drug/chem diab w prolif diab rtnop with comb detach, r eye	249|250.7	Exclusion	Glaucoma
E09.3542	Drug/chem diab w prolif diab rtnop with comb detach, l eye	249|250.7	Exclusion	Glaucoma
E09.3543	Drug/chem diab with prolif diab rtnop with comb detach, bi	249|250.7	Exclusion	Glaucoma
E09.3549	Drug/chem diab with prolif diab rtnop with comb detach, unsp	249|250.7	Exclusion	Glaucoma
E09.355	Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy	249|250.7	Exclusion	Glaucoma
E09.3551	Drug/chem diabetes with stable prolif diabetic rtnop, r eye	249|250.7	Exclusion	Glaucoma
E09.3552	Drug/chem diab with stable prolif diabetic rtnop, left eye	249|250.7	Exclusion	Glaucoma
E09.3553	Drug/chem diabetes with stable prolif diabetic rtnop, bi	249|250.7	Exclusion	Glaucoma
E09.3559	Drug/chem diabetes with stable prolif diabetic rtnop, unsp	249|250.7	Exclusion	Glaucoma
E09.359	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema	249|250.7	Exclusion	Glaucoma
E09.3591	Drug/chem diab with prolif diab rtnop w/o mclr edema, r eye	249|250.7	Exclusion	Glaucoma
E09.3592	Drug/chem diab with prolif diab rtnop w/o mclr edema, l eye	249|250.7	Exclusion	Glaucoma
E09.3593	Drug/chem diab with prolif diab rtnop without mclr edema, bi	249|250.7	Exclusion	Glaucoma
E09.3599	Drug/chem diab with prolif diab rtnop w/o mclr edema, unsp	249|250.7	Exclusion	Glaucoma
E09.36	Drug or chemical induced diabetes mellitus with diabetic cataract	249|250.7	Exclusion	Glaucoma
E09.37	Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment	249|250.7	Exclusion	Glaucoma
E09.37X1	Drug/chem diab w diab mclr edma, resolved fol trtmt, r eye	249|250.7	Exclusion	Glaucoma
E09.37X2	Drug/chem diab w diab mclr edma, resolved fol trtmt, l eye	249|250.7	Exclusion	Glaucoma
E09.37X3	Drug/chem diab with diab mclr edema, resolved fol trtmt, bi	249|250.7	Exclusion	Glaucoma
E09.37X9	Drug/chem diab with diab mclr edma, resolved fol trtmt, unsp	249|250.7	Exclusion	Glaucoma
E09.39	Drug/chem diabetes w oth diabetic ophthalmic complication	249|250.7	Exclusion	Glaucoma
E10.3	Type 1 diabetes mellitus with ophthalmic complications	250.13|250.7	Exclusion	Glaucoma
E10.31	Type 1 diabetes mellitus with unspecified diabetic retinopathy	250.13|250.7	Exclusion	Glaucoma
E10.311	Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema	250.13|250.7	Exclusion	Glaucoma
E10.319	Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema	250.13|250.7	Exclusion	Glaucoma
E10.32	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy	250.13|250.7	Exclusion	Glaucoma
E10.321	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema	250.13|250.7	Exclusion	Glaucoma
E10.3211	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye	250.13|250.7	Exclusion	Glaucoma
E10.3212	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye	250.13|250.7	Exclusion	Glaucoma
E10.3213	Type 1 diabetes with mild nonp rtnop with macular edema, bi	250.13|250.7	Exclusion	Glaucoma
E10.3219	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye	250.13|250.7	Exclusion	Glaucoma
E10.329	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema	250.13|250.7	Exclusion	Glaucoma
E10.3291	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye	250.13|250.7	Exclusion	Glaucoma
E10.3292	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye	250.13|250.7	Exclusion	Glaucoma
E10.3293	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral	250.13|250.7	Exclusion	Glaucoma
E10.3299	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye	250.13|250.7	Exclusion	Glaucoma
E10.33	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy	250.13|250.7	Exclusion	Glaucoma
E10.331	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema	250.13|250.7	Exclusion	Glaucoma
E10.3311	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye	250.13|250.7	Exclusion	Glaucoma
E10.3312	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye	250.13|250.7	Exclusion	Glaucoma
E10.3313	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral	250.13|250.7	Exclusion	Glaucoma
E10.3319	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye	250.13|250.7	Exclusion	Glaucoma
E10.339	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema	250.13|250.7	Exclusion	Glaucoma
E10.3391	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye	250.13|250.7	Exclusion	Glaucoma
E10.3392	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye	250.13|250.7	Exclusion	Glaucoma
E10.3393	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral	250.13|250.7	Exclusion	Glaucoma
E10.3399	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye	250.13|250.7	Exclusion	Glaucoma
E10.34	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy	250.13|250.7	Exclusion	Glaucoma
E10.341	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema	250.13|250.7	Exclusion	Glaucoma
E10.3411	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye	250.13|250.7	Exclusion	Glaucoma
E10.3412	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye	250.13|250.7	Exclusion	Glaucoma
E10.3413	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral	250.13|250.7	Exclusion	Glaucoma
E10.3419	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye	250.13|250.7	Exclusion	Glaucoma
E10.349	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema	250.13|250.7	Exclusion	Glaucoma
E10.3491	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye	250.13|250.7	Exclusion	Glaucoma
E10.3492	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye	250.13|250.7	Exclusion	Glaucoma
E10.3493	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral	250.13|250.7	Exclusion	Glaucoma
E10.3499	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye	250.13|250.7	Exclusion	Glaucoma
E10.35	Type 1 diabetes mellitus with proliferative diabetic retinopathy	250.13|250.7	Exclusion	Glaucoma
E10.351	Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema	250.13|250.7	Exclusion	Glaucoma
E10.3511	Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye	250.13|250.7	Exclusion	Glaucoma
E10.3512	Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye	250.13|250.7	Exclusion	Glaucoma
E10.3513	Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral	250.13|250.7	Exclusion	Glaucoma
E10.3519	Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye	250.13|250.7	Exclusion	Glaucoma
E10.352	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula	250.13|250.7	Exclusion	Glaucoma
E10.3521	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye	250.13|250.7	Exclusion	Glaucoma
E10.3522	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye	250.13|250.7	Exclusion	Glaucoma
E10.3523	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral	250.13|250.7	Exclusion	Glaucoma
E10.3529	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye	250.13|250.7	Exclusion	Glaucoma
E10.353	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula	250.13|250.7	Exclusion	Glaucoma
E10.3531	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye	250.13|250.7	Exclusion	Glaucoma
E10.3532	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye	250.13|250.7	Exclusion	Glaucoma
E10.3533	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral	250.13|250.7	Exclusion	Glaucoma
E10.3539	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye	250.13|250.7	Exclusion	Glaucoma
E10.354	Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment	250.13|250.7	Exclusion	Glaucoma
E10.3541	Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye	250.13|250.7	Exclusion	Glaucoma
E10.3542	Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye	250.13|250.7	Exclusion	Glaucoma
E10.3543	Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral	250.13|250.7	Exclusion	Glaucoma
E10.3549	Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye	250.13|250.7	Exclusion	Glaucoma
E10.355	Type 1 diabetes mellitus with stable proliferative diabetic retinopathy	250.13|250.7	Exclusion	Glaucoma
E10.3551	Type 1 diabetes with stable prolif diabetic rtnop, right eye	250.13|250.7	Exclusion	Glaucoma
E10.3552	Type 1 diabetes with stable prolif diabetic rtnop, left eye	250.13|250.7	Exclusion	Glaucoma
